,rank,title,description,runtime,genre,rating,meta_score,vote,gross_earning,director,actor1,actor2,actor3,actor4
54,55,Logan Lucky,Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.,118,"Comedy, Crime, Drama",7.0,78.0,112379,27.78,Steven Soderbergh,Channing Tatum,Adam Driver,Daniel Craig,Farrah Mackenzie
55,56,The Big Sick,"Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.",120,"Comedy, Drama, Romance",7.6,86.0,109531,42.87,Michael Showalter,Kumail Nanjiani,Zoe Kazan,Holly Hunter,Ray Romano
56,57,Anna and the Apocalypse,"A zombie apocalypse threatens the sleepy town of Little Haven - at Christmas - forcing Anna and her friends to fight, slash and sing their way to survival, facing the undead in a desperate race to reach their loved ones. But they soon discover that no one is safe in this new world, and with civilization falling apart around them, the only people they can truly rely on are each other.",93,"Comedy, Fantasy, Horror",6.0,63.0,7349,0.55,John McPhail,Ella Hunt,Malcolm Cumming,Sarah Swire,Christopher Leveaux
57,58,Okja,"A young girl risks everything to prevent a powerful, multinational company from kidnapping her best friend - a fascinating beast named Okja.",120,"Action, Adventure, Drama",7.3,75.0,79849,0.0,Bong Joon Ho,Tilda Swinton,Paul Dano,Seo-hyun Ahn,Jake Gyllenhaal
58,59,The Mummy,"An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",110,"Action, Adventure, Fantasy",5.4,34.0,161688,80.1,Alex Kurtzman,Tom Cruise,Sofia Boutella,Annabelle Wallis,Russell Crowe
59,60,Christmas Inheritance,"To be the CEO, an heiress is challenged by her dad to deliver a Christmas letter in person to his ex-partner in their hometown - traveling by bus, incognito and with only $100. Will she learn something from the people there?",104,Comedy,5.7,0.0,7995,0.0,Ernie Barbarash,Eliza Taylor,Jake Lacy,Andie MacDowell,Neil Crone
60,61,Life,A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.,104,"Horror, Sci-Fi, Thriller",6.6,54.0,190551,30.23,Daniel Espinosa,Jake Gyllenhaal,Rebecca Ferguson,Ryan Reynolds,Hiroyuki Sanada
61,62,Ghost in the Shell,"In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",107,"Action, Drama, Sci-Fi",6.3,52.0,184219,40.56,Rupert Sanders,Scarlett Johansson,Pilou Asbæk,Takeshi Kitano,Juliette Binoche
62,63,Bright,A detective must work with an Orc to find a powerful wand before evil creatures do.,117,"Action, Adventure, Crime",6.4,29.0,155318,0.0,David Ayer,Will Smith,Joel Edgerton,Noomi Rapace,Edgar Ramírez
63,64,Alien: Covenant,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",122,"Horror, Sci-Fi, Thriller",6.4,65.0,236094,74.26,Ridley Scott,Michael Fassbender,Katherine Waterston,Billy Crudup,Danny McBride
64,65,Kong: Skull Island,"After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.",118,"Action, Adventure, Fantasy",6.6,62.0,250169,168.05,Jordan Vogt-Roberts,Tom Hiddleston,Samuel L. Jackson,Brie Larson,John C. Reilly
65,66,The Killing of a Sacred Deer,"Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister.",121,"Drama, Horror, Mystery",7.0,73.0,99639,2.29,Yorgos Lanthimos,Barry G. Bernson,Herb Caillouet,Bill Camp,Raffey Cassidy
66,67,The Disaster Artist,"When Greg Sestero, an aspiring film actor, meets the weird and mysterious Tommy Wiseau in an acting class, they form a unique friendship and travel to Hollywood to make their dreams come true.",104,"Biography, Comedy, Drama",7.4,76.0,120412,21.12,James Franco,James Franco,Dave Franco,Ari Graynor,Seth Rogen
